model-1640209981,1640209982.559,0.92,0.0636,0.66,0.2558
model-1640209981,1640209982.572,0.92,0.0487,0.65,0.2412
model-1640209981,1640209982.586,0.9,0.0811,0.74,0.2126
model-1640209981,1640209982.599,0.92,0.0577,0.77,0.183
model-1640209981,1640209982.611,0.93,0.0581,0.77,0.1882
model-1640209981,1640209982.625,0.89,0.0768,0.74,0.2006
model-1640209981,1640209982.638,0.91,0.0793,0.71,0.23
model-1640209981,1640209982.651,0.91,0.0631,0.79,0.1518
model-1640209981,1640209982.664,0.92,0.0589,0.76,0.1963
model-1640209981,1640209982.677,0.86,0.0922,0.71,0.2106
model-1640209981,1640209982.691,0.91,0.0782,0.75,0.1904
model-1640209981,1640209982.703,0.83,0.1462,0.79,0.1779
model-1640209981,1640209982.716,0.79,0.1423,0.71,0.2206
model-1640209981,1640209982.73,0.8,0.1328,0.73,0.2239
model-1640209981,1640209982.743,0.9,0.0816,0.75,0.228
model-1640209981,1640209982.755,0.82,0.1276,0.71,0.2124
model-1640209981,1640209982.768,0.89,0.0868,0.72,0.1949
model-1640209981,1640209982.781,0.81,0.1274,0.69,0.2564
model-1640209981,1640209982.794,0.85,0.1241,0.83,0.1415
model-1640209981,1640209982.807,0.89,0.0804,0.75,0.1775
model-1640209981,1640209982.82,0.92,0.065,0.61,0.2919
model-1640209981,1640209982.833,0.86,0.1132,0.71,0.2316
model-1640209981,1640209982.847,0.86,0.0993,0.74,0.2131
model-1640209981,1640209982.859,0.86,0.0978,0.75,0.1898
model-1640209981,1640209982.872,0.88,0.0776,0.78,0.1622
model-1640209981,1640209982.885,0.89,0.0913,0.69,0.2431
model-1640209981,1640209982.899,0.93,0.0446,0.79,0.1672
model-1640209981,1640209982.911,0.91,0.0637,0.74,0.177
model-1640209981,1640209982.924,0.89,0.0745,0.76,0.1979
model-1640209981,1640209982.937,0.82,0.1217,0.79,0.1426
model-1640209981,1640209982.95,0.84,0.1288,0.81,0.1643
model-1640209981,1640209982.963,0.87,0.0919,0.73,0.2068
model-1640209981,1640209982.976,0.88,0.0879,0.77,0.156
model-1640209981,1640209982.989,0.86,0.1117,0.68,0.243
model-1640209981,1640209983.002,0.85,0.1003,0.74,0.1988
model-1640209981,1640209983.015,0.88,0.1031,0.73,0.2069
model-1640209981,1640209983.029,0.88,0.0786,0.83,0.1284
model-1640209981,1640209983.042,0.89,0.0829,0.62,0.271
model-1640209981,1640209983.055,0.89,0.0645,0.78,0.1588
model-1640209981,1640209983.069,0.92,0.0723,0.82,0.1171
model-1640209981,1640209983.084,0.93,0.0562,0.71,0.2289
model-1640209981,1640209983.098,0.9,0.0813,0.79,0.1781
model-1640209981,1640209983.112,0.87,0.0834,0.72,0.2262
model-1640209981,1640209983.126,0.85,0.1158,0.8,0.1561
model-1640209981,1640209983.14,0.89,0.0963,0.74,0.1885
model-1640209981,1640209983.154,0.89,0.0847,0.77,0.1836
model-1640209981,1640209983.168,0.9,0.0716,0.71,0.1952
model-1640209981,1640209983.182,0.91,0.0714,0.73,0.211
model-1640209981,1640209983.196,0.9,0.0912,0.74,0.1895
model-1640209981,1640209983.211,0.92,0.0663,0.72,0.2084
model-1640209981,1640209983.225,0.91,0.0807,0.73,0.2046
model-1640209981,1640209983.239,0.86,0.0954,0.75,0.1738
model-1640209981,1640209983.253,0.99,0.0216,0.7,0.1953
model-1640209981,1640209983.266,0.96,0.037,0.77,0.1862
model-1640209981,1640209983.281,0.93,0.0543,0.66,0.231
model-1640209981,1640209983.294,0.89,0.0932,0.8,0.1491
model-1640209981,1640209983.309,0.91,0.0771,0.78,0.1562
model-1640209981,1640209983.323,0.9,0.0738,0.8,0.1683
model-1640209981,1640209983.337,0.95,0.048,0.77,0.1574
model-1640209981,1640209983.352,0.85,0.1127,0.74,0.2134
model-1640209981,1640209983.365,0.9,0.0887,0.67,0.2272
model-1640209981,1640209983.38,0.91,0.0828,0.7,0.2285
model-1640209981,1640209983.393,0.86,0.1206,0.78,0.17
model-1640209981,1640209983.407,0.88,0.0993,0.82,0.1401
model-1640209981,1640209983.422,0.91,0.0679,0.78,0.1544
model-1640209981,1640209983.436,0.94,0.056,0.82,0.1564
model-1640209981,1640209983.45,0.94,0.0528,0.71,0.2071
model-1640209981,1640209983.464,0.91,0.0652,0.69,0.2088
model-1640209981,1640209983.478,0.87,0.1031,0.77,0.1834
model-1640209981,1640209983.492,0.93,0.0542,0.76,0.185
model-1640209981,1640209983.505,0.94,0.0445,0.78,0.1634
model-1640209981,1640209983.519,0.87,0.0934,0.73,0.195
model-1640209981,1640209983.534,0.95,0.0524,0.74,0.2031
model-1640209981,1640209983.548,0.95,0.0332,0.78,0.1562
model-1640209981,1640209983.562,0.91,0.0736,0.77,0.1718
model-1640209981,1640209983.576,0.93,0.0765,0.82,0.1364
model-1640209981,1640209983.59,0.92,0.0678,0.72,0.1835
model-1640209981,1640209983.604,0.95,0.0417,0.78,0.1893
model-1640209981,1640209983.618,0.94,0.0497,0.66,0.2061
model-1640209981,1640209983.632,0.89,0.0718,0.72,0.2299
model-1640209981,1640209983.646,0.91,0.0717,0.75,0.1999
model-1640209981,1640209983.661,0.92,0.0663,0.83,0.1405
model-1640209981,1640209983.675,0.96,0.0388,0.78,0.1764
model-1640209981,1640209983.689,0.95,0.0532,0.74,0.1853
model-1640209981,1640209983.702,0.91,0.0629,0.81,0.1489
model-1640209981,1640209983.716,0.9,0.0637,0.73,0.1897
model-1640209981,1640209983.731,0.91,0.0624,0.72,0.2016
model-1640209981,1640209983.744,0.93,0.066,0.79,0.1493
model-1640209981,1640209983.76,0.89,0.0806,0.74,0.2193
model-1640209981,1640209983.773,0.89,0.0838,0.75,0.1746
model-1640209981,1640209983.787,0.95,0.0427,0.78,0.1699
model-1640209981,1640209983.801,0.94,0.0545,0.78,0.1733
model-1640209981,1640209983.815,0.9,0.0826,0.8,0.1747
model-1640209981,1640209983.829,0.91,0.0531,0.74,0.1957
model-1640209981,1640209983.843,0.91,0.0763,0.78,0.1848
model-1640209981,1640209983.857,0.83,0.1105,0.72,0.2051
model-1640209981,1640209983.871,0.92,0.0808,0.71,0.2058
model-1640209981,1640209983.884,0.88,0.0948,0.74,0.1883
model-1640209981,1640209983.897,0.89,0.1029,0.69,0.2269
model-1640209981,1640209983.91,0.94,0.0527,0.77,0.186
model-1640209981,1640209983.923,0.92,0.0698,0.79,0.1617
model-1640209981,1640209983.936,0.85,0.1031,0.7,0.2254
model-1640209981,1640209983.951,0.9,0.0882,0.7,0.2255
model-1640209981,1640209983.966,0.85,0.0901,0.76,0.1733
model-1640209981,1640209983.979,0.92,0.0738,0.78,0.1714
model-1640209981,1640209983.992,0.9,0.0768,0.79,0.178
model-1640209981,1640209984.006,0.9,0.0628,0.71,0.2016
model-1640209981,1640209984.019,0.87,0.0911,0.7,0.22
model-1640209981,1640209984.031,0.88,0.0739,0.72,0.2028
model-1640209981,1640209984.044,0.97,0.0276,0.73,0.2097
model-1640209981,1640209984.06,0.91,0.0686,0.83,0.1396
model-1640209981,1640209984.075,0.94,0.0459,0.74,0.1872
model-1640209981,1640209984.091,0.92,0.0797,0.76,0.2028
model-1640209981,1640209984.104,0.87,0.0975,0.66,0.2612
model-1640209981,1640209984.119,0.9,0.0867,0.66,0.2549
model-1640209981,1640209984.132,0.95,0.0457,0.78,0.1893
model-1640209981,1640209984.145,0.92,0.0809,0.74,0.227
model-1640209981,1640209984.159,0.92,0.074,0.73,0.2092
model-1640209981,1640209984.173,0.95,0.0542,0.74,0.2023
model-1640209981,1640209984.186,0.86,0.0991,0.77,0.2014
model-1640209981,1640209984.2,0.9,0.0869,0.76,0.1973
model-1640209981,1640209984.213,0.89,0.099,0.76,0.1775
model-1640209981,1640209984.226,0.95,0.0537,0.79,0.1801
model-1640209981,1640209984.239,0.88,0.0913,0.76,0.1822
model-1640209981,1640209984.252,0.85,0.083,0.7,0.2412
model-1640209981,1640209984.264,0.93,0.056,0.73,0.1967
model-1640209981,1640209984.277,0.93,0.0632,0.74,0.1901
model-1640209981,1640209984.29,0.91,0.0683,0.76,0.1763
model-1640209981,1640209984.304,0.9,0.1001,0.79,0.1737
model-1640209981,1640209984.317,0.91,0.0722,0.84,0.1424
model-1640209981,1640209984.33,0.9,0.0769,0.71,0.194
model-1640209981,1640209984.343,0.91,0.0737,0.75,0.1851
model-1640209981,1640209984.356,0.89,0.081,0.71,0.229
model-1640209981,1640209984.368,0.86,0.1136,0.71,0.2193
model-1640209981,1640209984.381,0.92,0.0565,0.67,0.2532
model-1640209981,1640209984.394,0.93,0.0578,0.73,0.2032
model-1640209981,1640209984.408,0.88,0.0944,0.76,0.1763
model-1640209981,1640209984.421,0.93,0.0531,0.74,0.1888
model-1640209981,1640209984.434,0.91,0.0732,0.69,0.2408
model-1640209981,1640209984.447,0.9,0.0786,0.8,0.1469
model-1640209981,1640209984.46,0.91,0.0776,0.73,0.2019
model-1640209981,1640209984.472,0.88,0.1002,0.7,0.2014
model-1640209981,1640209984.485,0.91,0.0656,0.68,0.2304
model-1640209981,1640209984.498,0.96,0.0509,0.73,0.2138
model-1640209981,1640209984.512,0.87,0.0909,0.76,0.181
model-1640209981,1640209984.525,1.0,0.0169,0.73,0.2029
model-1640209981,1640209984.539,0.95,0.0424,0.74,0.2044
model-1640209981,1640209984.553,0.9,0.083,0.77,0.1939
model-1640209981,1640209984.567,0.85,0.1171,0.75,0.1914
model-1640209981,1640209984.581,0.89,0.0759,0.73,0.193
model-1640209981,1640209984.595,0.9,0.0806,0.79,0.1676
model-1640209981,1640209984.609,0.93,0.0639,0.75,0.1892
model-1640209981,1640209984.624,0.89,0.0826,0.69,0.2211
model-1640209981,1640209984.638,0.92,0.0692,0.76,0.1819
model-1640209981,1640209984.652,0.95,0.0467,0.74,0.1764
model-1640209981,1640209984.665,0.85,0.1164,0.78,0.1792
model-1640209981,1640209984.68,0.88,0.0763,0.75,0.1868
model-1640209981,1640209984.693,0.94,0.0489,0.72,0.1898
model-1640209981,1640209984.707,0.89,0.0731,0.76,0.1858
model-1640209981,1640209984.721,0.9,0.0745,0.76,0.1712
model-1640209981,1640209984.736,0.88,0.0978,0.73,0.2167
model-1640209981,1640209984.751,0.88,0.0849,0.77,0.1853
model-1640209981,1640209984.764,0.88,0.0848,0.68,0.2128
model-1640209981,1640209984.778,0.9,0.0926,0.74,0.1773
model-1640209981,1640209984.792,0.95,0.0489,0.76,0.1633
model-1640209981,1640209984.805,0.96,0.0434,0.74,0.1918
model-1640209981,1640209984.82,0.94,0.0491,0.78,0.1719
model-1640209981,1640209984.834,0.88,0.0862,0.83,0.1247
model-1640209981,1640209984.849,0.93,0.0526,0.8,0.1548
model-1640209981,1640209984.863,0.92,0.0823,0.78,0.187
model-1640209981,1640209984.876,0.93,0.0492,0.75,0.1877
model-1640209981,1640209984.891,0.92,0.0687,0.74,0.206
model-1640209981,1640209984.904,0.9,0.0694,0.78,0.1648
model-1640209981,1640209984.919,0.92,0.0565,0.73,0.1992
