model-1640219230,1640219231.633,0.52,0.2523,0.52,0.2506
model-1640219230,1640219231.647,0.5,0.2541,0.54,0.249
model-1640219230,1640219231.661,0.48,0.2514,0.52,0.2488
model-1640219230,1640219231.675,0.56,0.249,0.52,0.2528
model-1640219230,1640219231.688,0.64,0.2453,0.45,0.2511
model-1640219230,1640219231.701,0.52,0.2494,0.59,0.2429
model-1640219230,1640219231.714,0.47,0.2516,0.5,0.2488
model-1640219230,1640219231.728,0.5,0.2512,0.53,0.2476
model-1640219230,1640219231.74,0.49,0.2523,0.5,0.2484
model-1640219230,1640219231.753,0.59,0.2487,0.52,0.2481
model-1640219230,1640219231.766,0.57,0.2467,0.57,0.2476
model-1640219230,1640219231.78,0.57,0.2478,0.58,0.2486
model-1640219230,1640219231.794,0.59,0.2488,0.52,0.2492
model-1640219230,1640219231.807,0.47,0.2503,0.53,0.2492
model-1640219230,1640219231.821,0.58,0.2475,0.48,0.2484
model-1640219230,1640219231.833,0.55,0.2493,0.58,0.2481
model-1640219230,1640219231.845,0.54,0.2485,0.52,0.2497
model-1640219230,1640219231.858,0.53,0.2473,0.62,0.243
model-1640219230,1640219231.871,0.53,0.2451,0.53,0.2464
model-1640219230,1640219231.885,0.58,0.2488,0.5,0.249
model-1640219230,1640219231.898,0.57,0.2469,0.51,0.2508
model-1640219230,1640219231.911,0.6,0.2412,0.48,0.2496
model-1640219230,1640219231.924,0.51,0.2499,0.51,0.2502
model-1640219230,1640219231.936,0.61,0.2375,0.52,0.2454
model-1640219230,1640219231.949,0.49,0.2521,0.54,0.2392
model-1640219230,1640219231.962,0.62,0.2396,0.53,0.2516
model-1640219230,1640219231.975,0.46,0.2469,0.52,0.2403
model-1640219230,1640219231.989,0.51,0.2543,0.53,0.2462
model-1640219230,1640219232.002,0.53,0.2525,0.56,0.2463
model-1640219230,1640219232.015,0.55,0.2438,0.5,0.2529
model-1640219230,1640219232.028,0.46,0.2503,0.53,0.2475
model-1640219230,1640219232.04,0.48,0.2548,0.49,0.2492
model-1640219230,1640219232.052,0.55,0.2484,0.43,0.2561
model-1640219230,1640219232.065,0.64,0.2425,0.55,0.2466
model-1640219230,1640219232.08,0.47,0.2533,0.61,0.2471
model-1640219230,1640219232.093,0.56,0.2477,0.49,0.2489
model-1640219230,1640219232.106,0.6,0.2462,0.64,0.2442
model-1640219230,1640219232.119,0.61,0.2483,0.48,0.2491
model-1640219230,1640219232.132,0.56,0.2472,0.55,0.244
model-1640219230,1640219232.144,0.45,0.2496,0.5,0.2488
model-1640219230,1640219232.156,0.65,0.2346,0.52,0.245
model-1640219230,1640219232.17,0.54,0.2431,0.63,0.2397
model-1640219230,1640219232.183,0.62,0.2428,0.56,0.2506
model-1640219230,1640219232.197,0.7,0.2404,0.5,0.2383
model-1640219230,1640219232.209,0.62,0.2348,0.43,0.2839
model-1640219230,1640219232.222,0.64,0.2344,0.62,0.237
model-1640219230,1640219232.237,0.61,0.2405,0.42,0.2846
model-1640219230,1640219232.25,0.54,0.2508,0.5,0.2463
model-1640219230,1640219232.262,0.59,0.2394,0.61,0.247
model-1640219230,1640219232.278,0.61,0.2301,0.51,0.2548
model-1640219230,1640219232.291,0.57,0.2332,0.66,0.2323
model-1640219230,1640219232.307,0.61,0.2361,0.62,0.2405
model-1640219230,1640219232.32,0.56,0.2421,0.49,0.2605
model-1640219230,1640219232.333,0.56,0.2499,0.56,0.2508
model-1640219230,1640219232.345,0.58,0.2451,0.53,0.2454
model-1640219230,1640219232.358,0.52,0.2545,0.55,0.2426
model-1640219230,1640219232.371,0.61,0.2274,0.46,0.2576
model-1640219230,1640219232.384,0.5,0.2465,0.52,0.2481
model-1640219230,1640219232.398,0.61,0.2385,0.55,0.2434
model-1640219230,1640219232.411,0.52,0.2606,0.63,0.2364
model-1640219230,1640219232.424,0.52,0.249,0.49,0.2515
model-1640219230,1640219232.437,0.55,0.236,0.7,0.2292
model-1640219230,1640219232.449,0.52,0.2467,0.63,0.2395
